tenure,MonthlyCharges,Contract,InternetService,Churn
36,91,Two year,No,Yes
51,19,Month-to-month,Fiber optic,No
15,34,Month-to-month,No,No
68,75,Month-to-month,Fiber optic,No
21,34,One year,DSL,Yes
13,63,Two year,Fiber optic,No
19,42,One year,Fiber optic,No
34,45,Two year,Fiber optic,No
68,104,Two year,DSL,Yes
52,23,Two year,No,Yes
27,74,Two year,No,No
29,119,Two year,DSL,No
28,89,Two year,Fiber optic,Yes
35,63,Two year,No,No
8,119,One year,DSL,Yes
16,61,Month-to-month,No,No
36,12,Month-to-month,DSL,No
30,108,One year,Fiber optic,Yes
18,50,One year,No,No
2,15,One year,DSL,No
49,34,One year,No,Yes
4,22,Two year,No,Yes
7,107,Month-to-month,No,Yes
39,17,Two year,No,No
13,30,Month-to-month,DSL,No
31,107,Month-to-month,Fiber optic,Yes
71,77,One year,DSL,No
63,34,Two year,DSL,No
56,88,One year,DSL,No
42,77,Two year,Fiber optic,No
61,54,Month-to-month,No,Yes
42,69,One year,No,No
56,21,One year,No,No
36,41,Month-to-month,Fiber optic,No
68,105,Month-to-month,No,No
7,101,Month-to-month,Fiber optic,Yes
54,22,One year,No,Yes
1,40,Two year,No,No
44,87,One year,DSL,Yes
45,29,Two year,Fiber optic,Yes
47,27,One year,DSL,Yes
13,102,One year,DSL,No
22,69,Month-to-month,DSL,No
21,72,Two year,Fiber optic,Yes
9,15,One year,Fiber optic,Yes
26,41,One year,No,No
9,102,Month-to-month,DSL,Yes
15,52,Month-to-month,No,No
10,11,Two year,DSL,No
42,69,One year,Fiber optic,No
72,32,Two year,Fiber optic,No
24,92,One year,Fiber optic,Yes
49,40,Two year,DSL,No
26,14,Month-to-month,Fiber optic,No
37,92,One year,DSL,Yes
68,43,Two year,No,Yes
50,19,Month-to-month,DSL,No
24,98,Month-to-month,No,Yes
19,11,Two year,DSL,Yes
60,20,One year,No,Yes
39,59,One year,Fiber optic,No
18,40,Month-to-month,No,No
19,65,One year,Fiber optic,No
36,88,One year,Fiber optic,No
55,82,One year,No,Yes
69,96,Month-to-month,DSL,No
47,92,Two year,DSL,Yes
49,18,One year,DSL,No
33,108,Month-to-month,DSL,No
21,30,Month-to-month,DSL,No
22,82,Two year,Fiber optic,No
48,37,One year,DSL,No
37,71,One year,Fiber optic,No
15,119,Two year,Fiber optic,No
35,16,Two year,Fiber optic,No
71,89,Month-to-month,No,Yes
32,25,Month-to-month,No,No
11,106,Two year,Fiber optic,Yes
10,13,One year,No,Yes
57,13,Month-to-month,DSL,Yes
25,112,Month-to-month,DSL,No
2,49,One year,Fiber optic,No
64,26,Month-to-month,DSL,Yes
35,110,One year,Fiber optic,Yes
7,112,One year,Fiber optic,Yes
18,61,One year,DSL,No
67,102,Two year,No,Yes
42,61,Two year,DSL,No
39,45,Two year,DSL,No
41,47,One year,Fiber optic,No
24,112,One year,Fiber optic,Yes
60,59,Two year,Fiber optic,No
46,72,Month-to-month,Fiber optic,No
19,110,One year,No,No
68,72,Month-to-month,No,No
42,71,Month-to-month,No,Yes
32,108,One year,Fiber optic,Yes
39,16,One year,Fiber optic,No
36,36,Month-to-month,Fiber optic,No
36,101,Month-to-month,No,Yes
3,95,Two year,Fiber optic,Yes
8,23,Two year,DSL,No
70,80,One year,DSL,Yes
41,110,Two year,Fiber optic,No
68,95,Two year,DSL,Yes
13,14,Two year,DSL,No
49,64,Two year,No,No
60,11,Month-to-month,Fiber optic,No
2,71,One year,Fiber optic,Yes
60,100,Two year,No,Yes
5,30,Month-to-month,DSL,Yes
44,111,Month-to-month,DSL,Yes
27,88,Month-to-month,Fiber optic,Yes
32,30,Two year,DSL,No
21,19,Two year,No,No
8,96,One year,No,Yes
72,67,Two year,Fiber optic,No
50,48,Two year,No,No
67,14,Month-to-month,No,Yes
44,74,One year,Fiber optic,No
58,22,Two year,No,No
