tenure,MonthlyCharges,Contract,InternetService,Churn
27,84,Month-to-month,No,No
55,79,One year,No,No
33,27,Two year,Fiber optic,No
68,94,Two year,DSL,Yes
66,51,Two year,DSL,No
10,109,One year,Fiber optic,Yes
5,50,Month-to-month,Fiber optic,Yes
38,47,One year,No,No
13,43,Month-to-month,DSL,No
31,26,Month-to-month,Fiber optic,No
47,46,One year,DSL,Yes
52,34,Month-to-month,Fiber optic,No
56,111,Month-to-month,Fiber optic,Yes
15,85,Two year,DSL,No
29,96,Month-to-month,Fiber optic,Yes
8,115,One year,Fiber optic,Yes
5,95,One year,No,Yes
29,94,Month-to-month,Fiber optic,Yes
47,36,Two year,Fiber optic,No
68,66,Two year,Fiber optic,No
45,40,Month-to-month,No,No
2,15,Month-to-month,DSL,Yes
27,100,One year,No,No
36,49,Month-to-month,No,No
36,107,Two year,DSL,No
26,21,Month-to-month,No,No
43,118,One year,DSL,No
27,62,One year,No,No
69,80,One year,DSL,No
20,19,One year,Fiber optic,No
11,54,One year,No,No
38,26,Month-to-month,No,No
6,35,Month-to-month,No,No
72,94,Month-to-month,No,No
23,101,Month-to-month,Fiber optic,Yes
47,71,One year,No,No
46,55,Two year,Fiber optic,No
12,73,Month-to-month,Fiber optic,No
13,11,Two year,Fiber optic,No
62,63,Month-to-month,Fiber optic,No
60,116,Month-to-month,DSL,No
43,74,Two year,DSL,No
68,60,One year,No,No
5,62,Month-to-month,DSL,Yes
37,45,Month-to-month,DSL,No
72,35,Month-to-month,No,No
31,38,Two year,No,No
9,30,One year,No,No
51,20,Two year,DSL,No
29,49,Two year,DSL,No
40,20,One year,No,No
41,45,Two year,Fiber optic,No
11,68,One year,No,No
23,48,Month-to-month,Fiber optic,No
1,113,One year,Fiber optic,Yes
46,108,Month-to-month,No,Yes
21,63,Two year,No,Yes
36,107,Two year,No,Yes
54,64,Month-to-month,DSL,No
57,33,Two year,Fiber optic,No
1,31,One year,DSL,No
63,78,Month-to-month,DSL,Yes
54,65,Two year,No,No
55,42,Month-to-month,DSL,No
40,45,One year,No,No
15,29,One year,Fiber optic,No
21,92,Two year,No,Yes
47,108,One year,DSL,No
53,116,Month-to-month,DSL,No
9,90,One year,No,Yes
52,71,Month-to-month,No,No
57,118,Month-to-month,DSL,Yes
26,116,One year,Fiber optic,No
41,107,Two year,Fiber optic,Yes
35,82,One year,No,Yes
